num_languages,num_words,hidden_size,circulant_width,loss,accuracy,pair_frac,num_train
8,8,4,1,11.506343,0.14908928,0.125,8000
8,8,4,2,278.0243,0.48908332,0.25,16000
8,8,4,3,2.458,0.55,0.375,24000
8,8,4,4,1.7043117,0.68750006,0.5,32000
8,8,32,1,9.230677,0.12332143,0.125,8000
8,8,32,2,4.0025353,0.45754167,0.25,16000
8,8,32,3,0.1285574,0.93062496,0.375,24000
8,8,32,4,0.0005775398,1.0,0.5,32000
8,8,128,1,7.7319484,0.131375,0.125,8000
8,8,128,2,3.1626654,0.64764583,0.25,16000
8,8,128,3,0.111054614,0.944375,0.375,24000
8,8,128,4,0.0008158589,1.0,0.5,32000
8,16,4,1,19.493174,0.056089286,0.125,8000
8,16,4,2,9.577042,0.25,0.25,16000
8,16,4,3,8.782656,0.29999998,0.375,24000
8,16,4,4,7.2749033,0.34375003,0.5,32000
8,16,32,1,17.038128,0.06194643,0.125,8000
8,16,32,2,11.721793,0.32989582,0.25,16000
8,16,32,3,0.22134286,0.876875,0.375,24000
8,16,32,4,0.00046228213,0.9951563,0.5,32000
8,16,128,1,15.50235,0.06019643,0.125,8000
8,16,128,2,6.9802833,0.56027085,0.25,16000
8,16,128,3,0.3000024,0.93812495,0.375,24000
8,16,128,4,0.0019463393,0.98631257,0.5,32000
8,24,4,1,27.814587,0.037125,0.125,8000
8,24,4,2,16.050581,0.22916667,0.25,16000
8,24,4,3,14.477625,0.29999998,0.375,24000
8,24,4,4,12.97817,0.28125,0.5,32000
8,24,32,1,24.76007,0.04105357,0.125,8000
8,24,32,2,18.5525,0.1973125,0.25,16000
8,24,32,3,1.2206573,0.713125,0.375,24000
8,24,32,4,0.00020745174,1.0,0.5,32000
8,24,128,1,22.859444,0.040857144,0.125,8000
8,24,128,2,14.733699,0.30135417,0.25,16000
8,24,128,3,1.4086611,0.73749995,0.375,24000
8,24,128,4,0.0029333555,1.0,0.5,32000
8,32,4,1,38.768402,0.02805357,0.125,8000
8,32,4,2,23.577724,0.125,0.25,16000
8,32,4,3,21.64729,0.123749994,0.375,24000
8,32,4,4,19.49253,0.18750001,0.5,32000
8,32,32,1,34.16403,0.039178573,0.125,8000
8,32,32,2,26.100157,0.21474999,0.25,16000
8,32,32,3,3.6139693,0.6425,0.375,24000
8,32,32,4,0.0071444144,0.93750006,0.5,32000
8,32,128,1,32.17164,0.03794643,0.125,8000
8,32,128,2,21.69863,0.28133333,0.25,16000
8,32,128,3,3.5452828,0.639375,0.375,24000
8,32,128,4,0.011196089,0.93943757,0.5,32000
8,128,4,1,143.40567,0.004767857,0.125,8000
8,128,4,2,112.246124,0.020833334,0.25,16000
8,128,4,3,106.66413,0.016874999,0.375,24000
8,128,4,4,97.610596,0.03125,0.5,32000
8,128,32,1,134.80724,0.009928571,0.125,8000
8,128,32,2,125.582375,0.044354167,0.25,16000
8,128,32,3,46.913647,0.4375,0.375,24000
8,128,32,4,2.5482045e-12,1.0,0.5,32000
8,128,128,1,131.32979,0.0060535716,0.125,8000
8,128,128,2,118.66912,0.08341666,0.25,16000
8,128,128,3,48.68586,0.500625,0.375,24000
8,128,128,4,0.048868112,0.9747188,0.5,32000
